Wavelength,green_reference,brown_reference,soil_reference
544,0.0485445237747011,0.07874671,0.08977711
545,0.0488603172482772,0.079156361,0.09020097
546,0.049168295814231,0.079554898,0.09067461
547,0.0494829000321525,0.079974794,0.09108533
548,0.049752795856244,0.080390826,0.09148506
549,0.0499730085573621,0.080784683,0.09190071
550,0.0501519924872999,0.081185975,0.09239503
551,0.0503038129586813,0.081608323,0.09280477
552,0.0503920266014868,0.082021471,0.09323311
553,0.0503998427377606,0.082448987,0.09363205
554,0.0503357695296801,0.08288725,0.09399021
555,0.0501871549082758,0.083310378,0.09446901
556,0.0499725184150417,0.083743829,0.09492001
557,0.0496904521029017,0.084184618,0.09534729
558,0.0493040663064387,0.084599902,0.0957665
559,0.0488790144995614,0.085033021,0.09620507
560,0.0484107290464639,0.085469573,0.09664854
561,0.0478842990845178,0.085886439,0.09701746
562,0.047318493988413,0.086277899,0.09744229
563,0.0467240391151883,0.086669195,0.09792422
564,0.0460924979444652,0.087077427,0.09833999
565,0.0454054291273058,0.087503423,0.09869518
566,0.0446714319763878,0.08789096,0.09907884
567,0.0439066796151473,0.088272262,0.09946687
568,0.0431238104831556,0.088677338,0.09995329
569,0.0423134189577249,0.089053159,0.1004401
570,0.0414948368663584,0.089446079,0.1008509
571,0.0406983245342331,0.089846791,0.1012929
572,0.0399375586506527,0.09018666,0.1017289
573,0.0391859118149645,0.090528688,0.102216
574,0.0384732272281269,0.090879421,0.1025534
575,0.0378047240339533,0.091224622,0.1029266
576,0.0371881242878608,0.091599135,0.1033293
577,0.0366056201759804,0.092014623,0.1037159
578,0.036036291208658,0.092403537,0.1042145
579,0.0355176873776195,0.092761337,0.1044802
580,0.0350490405189302,0.093134397,0.104693
581,0.034593292664691,0.093525659,0.1049716
582,0.0341471991947064,0.093924192,0.1053415
583,0.0337412374269639,0.094327129,0.1056304
584,0.0333809143578024,0.094737877,0.106044
585,0.0330258173797054,0.095165146,0.1063276
586,0.0326550063415859,0.095585415,0.1068368
587,0.0323380085196758,0.096016471,0.1071968
588,0.032024879679372,0.096416906,0.1076442
589,0.0317137367705543,0.096844959,0.1080961
590,0.0314616987546514,0.097314679,0.1084605
591,0.0312104474836127,0.097741574,0.1088211
592,0.0309855095435701,0.098122285,0.1091181
593,0.0308053141064157,0.098490849,0.1095511
594,0.0306205996116815,0.098901903,0.1099867
595,0.0304464439438406,0.099348942,0.1103366
596,0.0302943269274458,0.099786815,0.11073
597,0.0301565635311289,0.100187898,0.111098
598,0.0300089712260516,0.100601709,0.1113802
599,0.0298841089529663,0.101032494,0.1117137
